Open,High,Low,Close,Adj Close,Volume
2.054667,2.069333,2.034667,2.051333,1.90771,4368000
2.006,2.062667,1.988667,2.059333,1.91515,5599500
1.994,1.994,1.935333,1.956,1.819052,5686500
1.920667,1.994,1.915333,1.929333,1.794252,5010000
1.900667,1.939333,1.871333,1.924,1.789292,6199500
1.954,1.968667,1.916,1.924667,1.789912,3606000
1.855333,1.927333,1.824667,1.922667,1.788052,7249500
1.912667,1.926667,1.834,1.874667,1.743413,3912000
1.965333,2.007333,1.934667,1.938,1.802312,5973000
1.967333,1.97,1.934667,1.958,1.820912,2568000
1.956,2.013333,1.944,1.949333,1.812852,3489000
2.030667,2.102667,2.014,2.101333,1.954209,5671500
1.816667,1.924667,1.730667,1.746667,1.624375,11479500
1.684667,1.684667,1.506667,1.538667,1.430938,11446500
1.612,1.671333,1.600667,1.662,1.545636,14646000
1.723333,1.78,1.702,1.762,1.638634,9870000
1.772667,1.858,1.755333,1.858,1.727913,5794500
1.804667,1.824667,1.789333,1.798,1.672114,4080000
1.760667,1.761333,1.674,1.707333,1.587795,4137000
1.672667,1.722,1.620667,1.714667,1.594615,6273000
1.726,1.814,1.726,1.777333,1.652894,6213000
1.829333,1.928667,1.827333,1.926667,1.791772,9957000
1.968,2.014667,1.964667,1.99,1.850671,9292500
2.041333,2.088667,2.036667,2.071333,1.92631,6894000
2.093333,2.114667,2.065333,2.076667,1.93127,5205000
2.134,2.14,2.082,2.122,1.973429,6063000
2.124667,2.129333,2.093333,2.117333,1.969088,4302000
2.181333,2.223333,2.179333,2.212667,2.057749,5875500
2.198667,2.206,2.168667,2.186667,2.033568,3187500
2.211333,2.310667,2.206,2.292,2.131527,6294000
2.294667,2.304,2.216,2.244,2.086887,5059500
2.229333,2.280667,2.180667,2.279333,2.119746,5407500
2.285333,2.330667,2.285333,2.316,2.153846,4806000
2.382667,2.618667,2.382667,2.598667,2.416723,15642000
2.656667,2.660667,2.535333,2.582667,2.401843,8205000
2.533333,2.596,2.504667,2.542,2.364023,5161500
2.544667,2.562,2.474667,2.503333,2.328063,5205000
2.536667,2.544667,2.488667,2.516667,2.340463,3016500
2.501333,2.501333,2.355333,2.396,2.228245,7983000
2.354,2.412667,2.354,2.412667,2.243746,4182000
2.430667,2.477333,2.413333,2.475333,2.302024,5209500
2.522,2.576,2.51,2.57,2.390063,5161500
2.594,2.614,2.547333,2.559333,2.380143,3063000
2.575333,2.648667,2.574667,2.625333,2.441522,3786000
2.635333,2.637333,2.536,2.564667,2.385103,5244000
2.583333,2.61,2.556667,2.601333,2.419202,2359500
2.6,2.652667,2.6,2.634667,2.450202,4086000
2.659333,2.762667,2.656667,2.744,2.55188,4903500
2.74,2.74,2.675333,2.685333,2.497321,2446500
2.694,2.694,2.64,2.684,2.496081,3484500
2.670667,2.743333,2.670667,2.743333,2.55126,3172500
2.752667,2.833333,2.744667,2.814667,2.617599,4912500
2.806,2.840667,2.782667,2.818,2.620699,3501000
2.857333,2.897333,2.854667,2.863333,2.662858,4677000
2.863333,2.878667,2.764,2.789333,2.594039,4705500
2.821333,2.859333,2.761333,2.823333,2.625658,3475500
2.841333,2.923333,2.8,2.862667,2.662239,3075000
2.879333,2.927333,2.879333,2.892,2.689517,5029500
2.897333,2.943333,2.843333,2.866667,2.665959,4834500
2.872,2.881333,2.822667,2.868667,2.667819,2962500
2.874,2.944,2.828667,2.944,2.737877,5970000
2.978,2.978,2.888667,2.928,2.722997,4899000
2.976667,2.976667,2.861333,2.903333,2.700058,2661000
2.911333,2.924,2.825333,2.839333,2.640538,4519500
2.813333,2.847333,2.775333,2.826667,2.628759,4620000
2.763333,2.763333,2.501333,2.515333,2.339223,7638000
2.460667,2.673333,2.433333,2.666,2.479341,7582500
